striker,bowler,runs,balls
A Ashish Reddy,A Nehra,6,5
A Ashish Reddy,J Botha,0,2
A Chopra,DP Vijaykumar,1,5
A Chopra,DW Steyn,1,4
A Chopra,GD McGrath,2,4
A Chopra,Harmeet Singh,5,5
A Chopra,PJ Sangwan,7,10
A Chopra,RP Singh,5,2
A Chopra,SM Pollock,1,4
A Chopra,VY Mahesh,5,4
A Chopra,WPUJC Vaas,1,2
A Chopra,Z Khan,1,1
A Flintoff,DJ Bravo,14,7
A Flintoff,SL Malinga,6,4
A Flintoff,Z Khan,1,4
A Mishra,MM Sharma,0,1
A Mishra,R Ashwin,1,4
A Mukund,A Chandila,1,1
A Mukund,JP Faulkner,4,7
A Mukund,S Sreesanth,1,1
A Mukund,SR Watson,9,7
A Symonds,A Mishra,1,3
A Symonds,AB Dinda,0,2
A Symonds,AP Dole,1,1
A Symonds,Bipul Sharma,0,1
A Symonds,DJ Bravo,0,1
A Symonds,I Sharma,1,2
A Symonds,JH Kallis,5,4
A Symonds,M Morkel,4,6
A Symonds,M Muralitharan,1,6
A Symonds,MM Patel,11,5
A Symonds,Mohammad Asif,2,5
A Symonds,P Kumar,2,8
A Symonds,PP Chawla,1,3
A Symonds,R Ashwin,0,1
A Symonds,R Vinay Kumar,7,5
A Symonds,RR Powar,6,3
A Symonds,S Ladda,0,1
A Symonds,S Narwal,13,6
A Symonds,S Sreesanth,1,2
A Symonds,SJ Srivastava,5,3
A Symonds,SL Malinga,2,6
A Symonds,SR Watson,11,8
A Symonds,SW Tait,2,3
A Symonds,Z Khan,1,1
AA Bilakhia,A Nehra,13,13
AA Bilakhia,DP Nannes,6,7
AA Bilakhia,PJ Sangwan,3,5
AA Bilakhia,SM Harwood,0,1
AA Bilakhia,TM Dilshan,1,2
AA Bilakhia,V Sehwag,1,1
AA Bilakhia,YK Pathan,1,4
AA Jhunjhunwala,A Mishra,2,3
AA Jhunjhunwala,AB McDonald,1,2
AA Jhunjhunwala,AD Mathews,1,1
AA Jhunjhunwala,AG Murtaza,1,3
AA Jhunjhunwala,DS Kulkarni,13,11
AA Jhunjhunwala,MF Maharoof,0,1
AA Jhunjhunwala,MM Patel,4,2
AA Jhunjhunwala,Pankaj Singh,5,3
AA Jhunjhunwala,R Vinay Kumar,1,5
AA Jhunjhunwala,SL Malinga,3,5
AB Agarkar,SR Watson,8,7
AB Agarkar,Sohail Tanvir,14,8
AB Barath,Harbhajan Singh,13,7
AB Barath,R McLaren,1,3
AB Barath,SL Malinga,4,2
AB Barath,Z Khan,1,2
AB McDonald,DAJ Bracewell,6,5
AB McDonald,IK Pathan,19,7
AB McDonald,M Morkel,4,3
AB McDonald,UT Yadav,2,4
AB de Villiers,A Flintoff,2,2
AB de Villiers,A Nehra,38,19
AB de Villiers,A Nortje,4,4
AB de Villiers,A Singh,1,2
AB de Villiers,AB Dinda,1,1
AB de Villiers,AD Mascarenhas,3,5
AB de Villiers,AG Murtaza,2,3
AB de Villiers,AJ Tye,0,2
AB de Villiers,AS Rajpoot,7,3
AB de Villiers,Ankit Sharma,6,3
AB de Villiers,B Akhil,1,1
AB de Villiers,B Kumar,12,8
AB de Villiers,B Laughlin,5,3
AB de Villiers,B Lee,5,3
AB de Villiers,BA Stokes,2,4
AB de Villiers,Basil Thampi,0,1
AB de Villiers,CH Morris,27,16
AB de Villiers,CR Woakes,6,4
AB de Villiers,DE Bollinger,9,4
AB de Villiers,DJ Bravo,17,12
AB de Villiers,DL Chahar,9,11
AB de Villiers,DS Kulkarni,25,19
AB de Villiers,DT Christian,1,2
AB de Villiers,DW Steyn,3,1
AB de Villiers,GB Hogg,1,1
AB de Villiers,HV Patel,10,6
AB de Villiers,Harbhajan Singh,21,8
AB de Villiers,I Sharma,16,19
AB de Villiers,IC Pandey,16,10
AB de Villiers,IK Pathan,9,14
AB de Villiers,J Suchith,9,5
AB de Villiers,JA Morkel,14,12
AB de Villiers,JC Archer,14,6
AB de Villiers,JD Unadkat,9,11
AB de Villiers,JH Kallis,19,19
AB de Villiers,JJ Bumrah,9,18
AB de Villiers,JO Holder,0,3
AB de Villiers,JP Behrendorff,3,2
AB de Villiers,JP Faulkner,24,10
AB de Villiers,K Gowtham,1,1
AB de Villiers,K Rabada,3,4
AB de Villiers,KA Pollard,1,2
AB de Villiers,KH Pandya,1,1
AB de Villiers,KK Ahmed,1,1
AB de Villiers,KW Richardson,0,1
AB de Villiers,Kamran Khan,5,6
AB de Villiers,L Balaji,2,3
AB de Villiers,LH Ferguson,1,3
AB de Villiers,M Ashwin,1,2
AB de Villiers,M Morkel,1,1
AB de Villiers,MC Henriques,0,1
AB de Villiers,MG Johnson,5,4
AB de Villiers,MJ McClenaghan,20,13
AB de Villiers,MM Patel,12,7
AB de Villiers,MM Sharma,6,3
AB de Villiers,MS Gony,8,4
AB de Villiers,Mohammad Nabi,1,2
AB de Villiers,Mohammed Shami,19,12
AB de Villiers,Mujeeb Ur Rahman,0,1
AB de Villiers,Mustafizur Rahman,3,6
AB de Villiers,NLTC Perera,1,1
AB de Villiers,NM Coulter-Nile,4,2
AB de Villiers,P Awana,3,2
AB de Villiers,P Kumar,13,8
AB de Villiers,PP Chawla,1,4
AB de Villiers,PP Ojha,1,1
AB de Villiers,PV Tambe,11,5
AB de Villiers,Pankaj Singh,1,2
AB de Villiers,R Ashwin,3,6
AB de Villiers,R Dhawan,8,5
AB de Villiers,R Vinay Kumar,5,7
AB de Villiers,RA Jadeja,2,2
AB de Villiers,RG Sharma,6,5
AB de Villiers,RP Singh,1,3
AB de Villiers,Ravi Bishnoi,8,5
AB de Villiers,S Gopal,0,1
AB de Villiers,S Kaul,4,3
AB de Villiers,S Kaushik,7,2
AB de Villiers,S Lamichhane,0,2
AB de Villiers,S Nadeem,8,3
AB de Villiers,S Sreesanth,9,9
AB de Villiers,S Tyagi,0,1
AB de Villiers,SB Jakati,6,3
AB de Villiers,SJ Srivastava,7,5
AB de Villiers,SK Trivedi,4,4
AB de Villiers,SL Malinga,11,11
AB de Villiers,SM Pollock,3,9
AB de Villiers,SN Thakur,21,15
AB de Villiers,SP Narine,4,3
AB de Villiers,SR Watson,5,10
AB de Villiers,SS Cottrell,14,9
AB de Villiers,SW Tait,3,7
AB de Villiers,Sandeep Sharma,36,23
AB de Villiers,Shakib Al Hasan,16,9
AB de Villiers,Shoaib Ahmed,4,6
AB de Villiers,Shoaib Akhtar,4,9
AB de Villiers,T Natarajan,4,7
AB de Villiers,TA Boult,5,2
AB de Villiers,TG Southee,7,9
AB de Villiers,UT Yadav,4,5
AB de Villiers,VR Aaron,12,7
AB de Villiers,WPUJC Vaas,5,5
AB de Villiers,Z Khan,24,17
AC Blizzard,AB Agarkar,4,2
AC Blizzard,AC Thomas,5,4
AC Blizzard,B Lee,13,5
AC Blizzard,BA Bhatt,1,1
AC Blizzard,Bipul Sharma,2,2
AC Blizzard,CH Gayle,1,5
AC Blizzard,I Sharma,1,3
AC Blizzard,IK Pathan,1,7
AC Blizzard,Iqbal Abdulla,9,7
AC Blizzard,JP Duminy,4,4
AC Blizzard,M Morkel,30,13
AC Blizzard,P Kumar,12,7
AC Blizzard,S Aravind,0,1
AC Blizzard,SB Wagh,1,2
AC Blizzard,Shakib Al Hasan,10,5
AC Blizzard,YK Pathan,2,4
AC Blizzard,Z Khan,9,5
AC Gilchrist,A Chandila,3,6
AC Gilchrist,A Kumble,13,23
AC Gilchrist,A Mishra,6,5
AC Gilchrist,A Nehra,102,54
AC Gilchrist,A Singh,3,5
AC Gilchrist,AB Agarkar,24,10
AC Gilchrist,AB Dinda,33,31
AC Gilchrist,AC Thomas,1,3
AC Gilchrist,AD Mathews,10,8
AC Gilchrist,AP Dole,18,7
AC Gilchrist,AS Rajpoot,9,4
AC Gilchrist,Anand Rajan,11,7
AC Gilchrist,B Kumar,19,12
AC Gilchrist,B Lee,36,29
AC Gilchrist,BJ Hodge,4,3
AC Gilchrist,BW Hilfenhaus,6,9
AC Gilchrist,CH Gayle,1,3
AC Gilchrist,CK Langeveldt,17,14
AC Gilchrist,CRD Fernando,0,2
AC Gilchrist,DE Bollinger,11,13
AC Gilchrist,DJ Bravo,7,8
AC Gilchrist,DP Nannes,47,25
AC Gilchrist,DS Kulkarni,9,7
AC Gilchrist,DW Steyn,50,51
AC Gilchrist,GD McGrath,6,7
AC Gilchrist,GH Vihari,1,2
AC Gilchrist,Harbhajan Singh,20,22
AC Gilchrist,I Sharma,68,56
AC Gilchrist,IK Pathan,62,41
AC Gilchrist,Iqbal Abdulla,6,6
AC Gilchrist,J Botha,14,8
AC Gilchrist,JA Morkel,49,29
AC Gilchrist,JD Unadkat,3,5
AC Gilchrist,JH Kallis,44,33
AC Gilchrist,JP Duminy,4,4
AC Gilchrist,JP Faulkner,9,3
AC Gilchrist,L Balaji,41,30
AC Gilchrist,LR Shukla,9,4
AC Gilchrist,M Kartik,6,6
AC Gilchrist,M Morkel,37,38
AC Gilchrist,M Muralitharan,6,4
AC Gilchrist,M Ntini,25,12
AC Gilchrist,MC Henriques,8,5
AC Gilchrist,MM Patel,36,21
AC Gilchrist,MN Samuels,4,6
AC Gilchrist,MS Gony,10,15
AC Gilchrist,Mashrafe Mortaza,24,12
AC Gilchrist,Mohammad Asif,18,12
AC Gilchrist,NLTC Perera,18,9
AC Gilchrist,NM Coulter-Nile,5,7
AC Gilchrist,P Kumar,26,16
AC Gilchrist,PJ Sangwan,16,6
AC Gilchrist,PP Ojha,4,3
AC Gilchrist,R Ashwin,41,37
AC Gilchrist,R Sharma,1,3
AC Gilchrist,RE van der Merwe,1,1
AC Gilchrist,RP Singh,7,12
AC Gilchrist,RR Powar,1,6
AC Gilchrist,S Aravind,1,1
AC Gilchrist,S Kaul,6,3
AC Gilchrist,S Ladda,10,5
AC Gilchrist,S Narwal,1,3
AC Gilchrist,S Sreesanth,57,31
AC Gilchrist,S Tyagi,18,5
AC Gilchrist,SB Wagh,1,1
AC Gilchrist,SD Chitnis,12,6
AC Gilchrist,SE Bond,1,1
AC Gilchrist,SJ Srivastava,8,3
AC Gilchrist,SK Raina,0,1
AC Gilchrist,SK Trivedi,25,14
AC Gilchrist,SK Warne,11,4
AC Gilchrist,SL Malinga,36,30
AC Gilchrist,SM Harwood,4,5
AC Gilchrist,SM Pollock,5,3
AC Gilchrist,SMSM Senanayake,18,16
AC Gilchrist,SP Narine,6,8
AC Gilchrist,SR Watson,28,17
AC Gilchrist,ST Jayasuriya,9,4
AC Gilchrist,SW Tait,6,3
AC Gilchrist,Sohail Tanvir,20,12
AC Gilchrist,TG Southee,7,4
AC Gilchrist,TM Dilshan,2,4
AC Gilchrist,UT Yadav,0,1
AC Gilchrist,V Sehwag,24,6
AC Gilchrist,VRV Singh,15,9
AC Gilchrist,VS Malik,5,2
AC Gilchrist,WD Parnell,1,1
AC Gilchrist,Y Nagar,9,4
AC Gilchrist,YK Pathan,24,26
AC Gilchrist,Z Khan,35,27
AC Voges,A Mishra,1,1
AC Voges,MF Maharoof,1,3
AC Voges,UT Yadav,5,5
AD Hales,Avesh Khan,29,9
AD Hales,DJ Willey,1,1
AD Hales,DL Chahar,1,7
AD Hales,DS Kulkarni,10,6
AD Hales,GJ Maxwell,2,3
AD Hales,HV Patel,8,4
AD Hales,JC Archer,2,2
AD Hales,JD Unadkat,5,4
AD Hales,K Gowtham,3,6
AD Hales,LE Plunkett,6,4
AD Hales,MM Ali,2,3
AD Hales,Mohammed Siraj,7,3
AD Hales,SN Thakur,0,1
AD Hales,TA Boult,12,12
AD Hales,TG Southee,7,3
AD Hales,UT Yadav,17,8
AD Hales,YS Chahal,6,6
AD Mascarenhas,YA Abdulla,4,2
AD Mathews,AD Mascarenhas,0,2
AD Mathews,DE Bollinger,0,2
AD Mathews,Harbhajan Singh,1,2
AD Mathews,Jaskaran Singh,7,5
AD Mathews,R Ashwin,2,6
AD Nath,HF Gurney,3,5
AD Nath,JC Archer,0,1
AD Nath,JD Unadkat,1,2
AD Nath,M Prasidh Krishna,7,3
AD Nath,SP Narine,1,1
AD Russell,D Wiese,1,1
AD Russell,MC Henriques,0,1
AD Russell,VR Aaron,16,5
AD Russell,YS Chahal,6,3
AG Paunikar,AB Dinda,6,5
AG Paunikar,B Lee,10,11
AG Paunikar,DW Steyn,9,9
AG Paunikar,I Sharma,1,6
AG Paunikar,Iqbal Abdulla,2,4
AG Paunikar,JH Kallis,4,4
AG Paunikar,L Balaji,8,11
AG Paunikar,M Morkel,0,3
AG Paunikar,PP Ojha,11,4
AG Paunikar,R Vinay Kumar,0,1
AG Paunikar,Shakib Al Hasan,5,3
AJ Finch,A Chandila,11,5
AJ Finch,A Nehra,4,5
AJ Finch,A Nortje,9,6
AJ Finch,A Singh,1,2
AJ Finch,AB Dinda,11,4
AJ Finch,AB McDonald,1,3
AJ Finch,AD Russell,5,5
AJ Finch,AG Murtaza,5,6
AJ Finch,AN Ahmed,10,5
AJ Finch,AR Patel,1,2
AJ Finch,Anureet Singh,6,5
AJ Finch,Arshdeep Singh,2,4
AJ Finch,Avesh Khan,0,1
AJ Finch,Azhar Mahmood,18,10
AJ Finch,B Kumar,4,11
AJ Finch,B Lee,13,10
AJ Finch,BW Hilfenhaus,3,3
AJ Finch,CH Morris,4,3
AJ Finch,CJ Anderson,13,9
AJ Finch,CV Varun,1,3
AJ Finch,DL Chahar,17,17
AJ Finch,DP Nannes,24,15
AJ Finch,DS Kulkarni,3,10
AJ Finch,DW Steyn,11,9
AJ Finch,GJ Maxwell,7,3
AJ Finch,HH Pandya,11,5
AJ Finch,Harbhajan Singh,1,2
AJ Finch,Harmeet Singh,0,1
AJ Finch,Harmeet Singh (2),12,7
AJ Finch,I Sharma,20,15
AJ Finch,IC Pandey,14,6
AJ Finch,IK Pathan,4,1
AJ Finch,Imran Tahir,4,4
AJ Finch,Iqbal Abdulla,6,8
AJ Finch,J Botha,6,4
AJ Finch,JA Morkel,11,5
AJ Finch,JC Archer,19,14
AJ Finch,JD Unadkat,2,2
AJ Finch,JH Kallis,3,5
AJ Finch,JJ Bumrah,2,10
AJ Finch,JL Pattinson,17,11
AJ Finch,JO Holder,7,7
AJ Finch,JP Faulkner,20,14
AJ Finch,K Rabada,3,5
AJ Finch,KC Cariappa,0,2
AJ Finch,KH Pandya,2,5
AJ Finch,KK Cooper,15,10
AJ Finch,KW Richardson,3,3
AJ Finch,L Balaji,5,8
AJ Finch,L Ngidi,1,2
AJ Finch,M Ashwin,19,6
AJ Finch,M Kartik,11,6
AJ Finch,M Morkel,12,19
AJ Finch,M Prasidh Krishna,17,14
AJ Finch,M de Lange,16,9
AJ Finch,MA Starc,2,4
AJ Finch,MC Henriques,7,3
AJ Finch,MG Johnson,35,37
AJ Finch,MJ McClenaghan,1,1
AJ Finch,MM Patel,1,1
AJ Finch,MM Sharma,18,12
AJ Finch,MP Stoinis,6,4
AJ Finch,MR Marsh,1,2
AJ Finch,Mohammed Shami,30,26
AJ Finch,Mohammed Siraj,5,3
AJ Finch,Monu Kumar,6,5
AJ Finch,Mustafizur Rahman,1,2
AJ Finch,NLTC Perera,0,1
AJ Finch,NM Coulter-Nile,1,3
AJ Finch,P Awana,8,6
AJ Finch,P Kumar,2,5
AJ Finch,PJ Cummins,20,18
AJ Finch,PP Ojha,16,8
AJ Finch,R Ashwin,8,13
AJ Finch,R Rampaul,0,1
AJ Finch,R Shukla,0,1
AJ Finch,R Vinay Kumar,1,7
AJ Finch,RA Jadeja,16,9
AJ Finch,RD Chahar,13,5
AJ Finch,RP Singh,19,22
AJ Finch,Ravi Bishnoi,8,5
AJ Finch,S Aravind,11,7
AJ Finch,S Badree,15,5
AJ Finch,S Gopal,5,5
AJ Finch,S Kaul,8,5
AJ Finch,S Nadeem,11,8
AJ Finch,S Sreesanth,7,5
AJ Finch,SK Trivedi,2,3
AJ Finch,SL Malinga,8,12
AJ Finch,SM Curran,3,4
AJ Finch,SMSM Senanayake,11,10
AJ Finch,SP Narine,25,11
AJ Finch,SR Watson,1,1
AJ Finch,SS Cottrell,2,3
AJ Finch,STR Binny,1,2
AJ Finch,SW Tait,5,7
AJ Finch,Sandeep Sharma,38,37
AJ Finch,Shakib Al Hasan,15,6
AJ Finch,T Natarajan,13,5
AJ Finch,TA Boult,13,10
AJ Finch,TG Southee,20,16
AJ Finch,UT Yadav,16,12
AJ Finch,V Shankar,9,3
AJ Finch,WD Parnell,1,3
AJ Finch,YS Chahal,7,4
AJ Finch,Z Khan,25,15
AL Menaria,B Lee,1,1
AL Menaria,DT Christian,0,1
AL Menaria,S Sreesanth,6,4
AL Menaria,Shakib Al Hasan,1,2
AM Nayar,A Nehra,1,4
AM Nayar,AC Thomas,0,2
AM Nayar,AR Patel,1,3
AM Nayar,BW Hilfenhaus,6,5
AM Nayar,DE Bollinger,2,3
AM Nayar,DW Steyn,5,5
AM Nayar,IC Pandey,0,3
AM Nayar,JA Morkel,1,2
AM Nayar,KK Cooper,1,1
AM Nayar,M Kartik,6,5
AM Nayar,MG Johnson,12,9
AM Nayar,MN Samuels,1,2
AM Nayar,P Awana,12,8
AM Nayar,P Kumar,9,6
AM Nayar,R Ashwin,5,3
AM Nayar,R Rampaul,1,3
AM Nayar,R Sharma,1,2
AM Nayar,R Vinay Kumar,1,1
AM Nayar,S Aravind,0,3
AM Nayar,WD Parnell,9,5
AM Nayar,Z Khan,1,1
AM Rahane,A Mithun,9,5
AM Rahane,A Nehra,41,26
AM Rahane,AB Agarkar,11,15
AM Rahane,AB Dinda,9,11
AM Rahane,AD Mathews,2,3
AM Rahane,AD Russell,21,21
AM Rahane,AF Milne,12,11
AM Rahane,AJ Tye,1,3
AM Rahane,AR Patel,34,25
AM Rahane,AS Joseph,17,6
AM Rahane,AS Rajpoot,1,1
AM Rahane,Anand Rajan,1,2
AM Rahane,Ankit Sharma,7,6
AM Rahane,Anureet Singh,1,3
AM Rahane,Azhar Mahmood,1,1
AM Rahane,B Kumar,69,80
AM Rahane,B Lee,2,8
AM Rahane,B Stanlake,5,2
AM Rahane,BE Hendricks,4,3
AM Rahane,BW Hilfenhaus,12,15
AM Rahane,Bipul Sharma,3,7
AM Rahane,CH Morris,15,12
AM Rahane,CJ Jordan,5,3
AM Rahane,CR Brathwaite,6,6
AM Rahane,CR Woakes,24,15
AM Rahane,D du Preez,0,1
AM Rahane,DE Bollinger,2,5
AM Rahane,DJ Bravo,18,8
AM Rahane,DL Chahar,24,25
AM Rahane,DL Vettori,2,4
AM Rahane,DP Nannes,1,1
AM Rahane,DS Kulkarni,24,27
AM Rahane,DT Christian,9,3
AM Rahane,DW Steyn,6,25
AM Rahane,GS Sandhu,6,5
AM Rahane,HH Pandya,18,10
AM Rahane,HV Patel,16,14
AM Rahane,I Sharma,26,30
AM Rahane,I Udana,9,4
AM Rahane,IC Pandey,14,10
AM Rahane,IK Pathan,23,15
AM Rahane,Iqbal Abdulla,12,5
AM Rahane,J Yadav,8,11
AM Rahane,JA Morkel,21,15
AM Rahane,JC Archer,3,9
AM Rahane,JD Unadkat,15,14
AM Rahane,JEC Franklin,2,2
AM Rahane,JH Kallis,13,12
AM Rahane,JJ Bumrah,39,27
AM Rahane,JL Pattinson,10,8
AM Rahane,JO Holder,26,16
AM Rahane,JP Behrendorff,13,10
AM Rahane,JP Duminy,11,10
AM Rahane,JP Faulkner,11,7
AM Rahane,K Rabada,18,10
AM Rahane,K Upadhyay,19,11
AM Rahane,KH Pandya,19,17
AM Rahane,KJ Abbott,10,8
AM Rahane,KK Ahmed,5,3
AM Rahane,KMDN Kulasekara,4,1
AM Rahane,KV Sharma,24,15
AM Rahane,KW Richardson,6,6
AM Rahane,Kuldeep Yadav,2,2
AM Rahane,L Balaji,9,12
AM Rahane,M Kartik,2,3
AM Rahane,M Morkel,69,52
AM Rahane,M Prasidh Krishna,20,13
AM Rahane,MA Starc,26,24
AM Rahane,MC Henriques,8,4
AM Rahane,MG Johnson,59,36
AM Rahane,MJ McClenaghan,76,54
AM Rahane,MJ Santner,14,7
AM Rahane,MM Ali,3,2
AM Rahane,MM Patel,12,7
AM Rahane,MM Sharma,50,32
AM Rahane,MP Stoinis,1,1
AM Rahane,Mohammed Shami,39,24
AM Rahane,Mohammed Siraj,2,10
AM Rahane,Mujeeb Ur Rahman,5,6
AM Rahane,Mustafizur Rahman,1,2
AM Rahane,NA Saini,10,7
AM Rahane,NLTC Perera,2,2
AM Rahane,NM Coulter-Nile,33,22
AM Rahane,P Awana,11,8
AM Rahane,P Kumar,42,51
AM Rahane,P Suyal,8,6
AM Rahane,PJ Cummins,2,3
AM Rahane,PJ Sangwan,4,7
AM Rahane,PP Chawla,28,27
AM Rahane,PP Ojha,11,7
AM Rahane,PV Tambe,4,5
AM Rahane,Parvez Rasool,6,3
AM Rahane,R Ashwin,7,9
AM Rahane,R Dhawan,15,15
AM Rahane,R Rampaul,10,14
AM Rahane,R Sharma,7,6
AM Rahane,R Shukla,17,10
AM Rahane,R Vinay Kumar,40,38
AM Rahane,RA Jadeja,4,3
AM Rahane,RD Chahar,10,6
AM Rahane,RJ Harris,5,3
AM Rahane,RP Singh,21,29
AM Rahane,Rashid Khan,11,6
AM Rahane,S Aravind,29,17
AM Rahane,S Badree,10,9
AM Rahane,S Kaul,7,10
AM Rahane,S Nadeem,26,24
AM Rahane,S Narwal,5,6
AM Rahane,S Sreesanth,7,5
AM Rahane,SB Bangar,0,3
AM Rahane,SB Jakati,10,5
AM Rahane,SK Trivedi,2,4
AM Rahane,SK Warne,2,3
AM Rahane,SL Malinga,39,44
AM Rahane,SM Curran,13,7
AM Rahane,SMSM Senanayake,1,4
AM Rahane,SN Thakur,8,5
AM Rahane,SP Narine,52,37
AM Rahane,SR Watson,11,8
AM Rahane,STR Binny,14,10
AM Rahane,Sandeep Sharma,67,73
AM Rahane,Shakib Al Hasan,21,18
AM Rahane,Shivam Mavi,7,2
AM Rahane,TA Boult,30,33
AM Rahane,TG Southee,24,16
AM Rahane,UT Yadav,66,52
AM Rahane,VR Aaron,13,5
AM Rahane,WD Parnell,7,7
AM Rahane,Washington Sundar,19,10
AM Rahane,Y Prithvi Raj,17,6
AM Rahane,YS Chahal,6,5
AM Rahane,Z Khan,27,30
AN Ghosh,JH Kallis,1,2
AN Ghosh,R Vinay Kumar,6,5
AP Majumdar,A Chandila,0,3
AP Majumdar,HV Patel,2,3
AP Majumdar,KP Appanna,11,4
AP Majumdar,SR Watson,9,5
AP Tare,A Uniyal,15,6
AP Tare,AA Chavan,9,8
AP Tare,AB Dinda,6,8
AP Tare,Anureet Singh,3,4
AP Tare,Azhar Mahmood,10,5
AP Tare,B Stanlake,10,10
AP Tare,BW Hilfenhaus,9,4
AP Tare,DL Chahar,0,1
AP Tare,DW Steyn,7,8
AP Tare,IC Pandey,10,6
AP Tare,Iqbal Abdulla,7,3
AP Tare,JA Morkel,18,16
AP Tare,JH Kallis,4,3
AP Tare,JP Duminy,1,1
AP Tare,JP Faulkner,12,7
AP Tare,M Morkel,8,8
AP Tare,MA Starc,1,3
AP Tare,MG Johnson,0,1
AP Tare,MM Sharma,5,7
AP Tare,MR Marsh,6,8
AP Tare,Mohammed Shami,6,4
AP Tare,NLTC Perera,2,3
AP Tare,P Kumar,6,5
AP Tare,PJ Sangwan,10,6
AP Tare,R Ashwin,4,5
AP Tare,R Vinay Kumar,12,8
AP Tare,S Ladda,1,2
AP Tare,S Nadeem,4,4
AP Tare,SE Bond,1,3
AP Tare,SP Narine,7,3
AP Tare,SR Watson,19,9
AP Tare,SW Tait,11,9
AP Tare,Sandeep Sharma,11,9
AP Tare,Shakib Al Hasan,3,7
AP Tare,TS Mills,0,3
AP Tare,VR Aaron,7,4
AP Tare,VS Malik,4,8
AP Tare,WD Parnell,1,3
AP Tare,YS Chahal,2,2
AR Patel,Imran Tahir,6,3
AR Patel,R Ashwin,2,3
AR Patel,SR Watson,4,5
AR Patel,YS Chahal,1,2
AS Raut,Iqbal Abdulla,0,2
AS Raut,L Balaji,7,4
AT Rayudu,A Mithun,1,1
AT Rayudu,A Nehra,1,2
AT Rayudu,A Singh,6,5
AT Rayudu,AA Chavan,1,1
AT Rayudu,AB Dinda,5,5
AT Rayudu,AC Thomas,1,3
AT Rayudu,AD Russell,13,8
AT Rayudu,AJ Tye,5,2
AT Rayudu,AL Menaria,0,1
AT Rayudu,AR Patel,3,4
AT Rayudu,AS Rajpoot,1,1
AT Rayudu,Ankit Sharma,10,8
AT Rayudu,Anureet Singh,1,4
AT Rayudu,Avesh Khan,27,11
AT Rayudu,Azhar Mahmood,1,1
AT Rayudu,B Kumar,28,25
AT Rayudu,B Laughlin,1,2
AT Rayudu,B Lee,8,6
AT Rayudu,BA Bhatt,4,3
AT Rayudu,BA Stokes,14,8
AT Rayudu,BB Sran,12,6
AT Rayudu,Bipul Sharma,4,7
AT Rayudu,CH Morris,1,4
AT Rayudu,DE Bollinger,2,2
AT Rayudu,DJG Sammy,2,2
AT Rayudu,DP Nannes,0,4
AT Rayudu,DS Kulkarni,11,9
AT Rayudu,DT Christian,3,2
AT Rayudu,DW Steyn,9,8
AT Rayudu,HH Pandya,23,17
AT Rayudu,HV Patel,7,13
AT Rayudu,I Sharma,6,9
AT Rayudu,IC Pandey,11,12
AT Rayudu,IK Pathan,17,16
AT Rayudu,JA Morkel,21,17
AT Rayudu,JC Archer,0,7
AT Rayudu,JD Unadkat,15,10
AT Rayudu,JE Taylor,11,5
AT Rayudu,JJ Bumrah,15,11
AT Rayudu,JL Pattinson,5,4
AT Rayudu,JP Behrendorff,0,1
AT Rayudu,JP Duminy,6,8
AT Rayudu,Joginder Sharma,1,3
AT Rayudu,K Gowtham,7,5
AT Rayudu,KH Pandya,7,5
AT Rayudu,KK Ahmed,1,1
AT Rayudu,KV Sharma,1,1
AT Rayudu,KW Richardson,6,3
AT Rayudu,Kartik Tyagi,1,4
AT Rayudu,L Ablish,9,4
AT Rayudu,L Balaji,8,3
AT Rayudu,M Kartik,7,5
AT Rayudu,M Morkel,20,17
AT Rayudu,M Prasidh Krishna,5,7
AT Rayudu,MC Henriques,7,5
AT Rayudu,MG Johnson,5,4
AT Rayudu,MJ McClenaghan,18,10
AT Rayudu,MM Ali,2,11
AT Rayudu,MM Sharma,7,7
AT Rayudu,MR Marsh,1,4
AT Rayudu,Mohammed Shami,13,8
AT Rayudu,Mohammed Siraj,9,4
AT Rayudu,Mujeeb Ur Rahman,2,4
AT Rayudu,Mustafizur Rahman,11,6
AT Rayudu,NA Saini,9,12
AT Rayudu,NLTC Perera,2,4
AT Rayudu,NM Coulter-Nile,3,6
AT Rayudu,P Kumar,23,22
AT Rayudu,P Negi,5,3
AT Rayudu,PJ Cummins,7,4
AT Rayudu,PP Chawla,24,15
AT Rayudu,R Vinay Kumar,11,12
AT Rayudu,RJ Harris,5,6
AT Rayudu,Rashid Khan,5,4
AT Rayudu,S Aravind,16,15
AT Rayudu,S Badree,1,2
AT Rayudu,S Kaul,0,1
AT Rayudu,S Nadeem,7,10
AT Rayudu,SB Wagh,9,9
AT Rayudu,SN Thakur,3,4
AT Rayudu,SP Narine,6,16
AT Rayudu,SR Watson,14,21
AT Rayudu,STR Binny,4,1
AT Rayudu,Sandeep Sharma,23,23
AT Rayudu,Shakib Al Hasan,22,13
AT Rayudu,Shivam Mavi,3,3
AT Rayudu,T Natarajan,5,6
AT Rayudu,TA Boult,7,12
AT Rayudu,TG Southee,17,10
AT Rayudu,TK Curran,1,1
AT Rayudu,UT Yadav,34,25
AT Rayudu,VR Aaron,12,11
AT Rayudu,WD Parnell,8,9
AT Rayudu,Washington Sundar,14,11
AT Rayudu,YS Chahal,3,6
AT Rayudu,Z Khan,3,3
AUK Pathan,JA Morkel,14,4
AUK Pathan,TG Southee,1,2
